회사명,종목코드,상장일,결산년도,결산월,업종,자산,부채,자본,매출액(수익),증감률,영업이익,증감률,당기순이익,증감률
와이엠텍,273640,2021-09-10,2021,12월,"전동기,발전기 및 전기변환·공급·제어장치 제조업","52,122,134","3,201,027","48,921,108","30,029,978",76,"6,963,011",55,"6,446,945",66
에이비온,203400,2021-09-08,2021,12월,자연과학 및 공학 연구개발업,"44,516,375","12,415,456","32,100,919","1,638,498",-17,"-9,826,831",4,"-53,547,980",-378
IBKS제16호스팩,388790,2021-09-03,2021,12월,금융 지원 서비스업,"7,817,843","1,280,683","6,537,160",0,0,"-37,912",888,"-32,148",888
일진하이솔루스,271940,2021-09-01,2021,12월,그외 기타 운송장비 제조업,"343,543,080","36,385,115","307,157,965","117,690,719",3,"9,802,681",-35,"8,963,456",-42
바이젠셀,308080,2021-08-25,2021,12월,자연과학 및 공학 연구개발업,"116,978,531","12,091,237","104,887,294",0,0,"-13,135,690",-66,"-11,113,878",-6
아주스틸,139990,2021-08-20,2021,12월,1차 철강 제조업,"482,606,483","252,679,200","229,927,283","570,544,066",74,"30,360,228",63,"33,806,804",139
브레인즈컴퍼니,099390,2021-08-19,2021,12월,소프트웨어 개발 및 공급업,"44,841,720","4,399,865","40,441,855","17,691,442",19,"5,308,436",37,"4,939,541",32
롯데렌탈,089860,2021-08-19,2021,12월,운송장비 임대업,"5,362,632,095","4,307,888,148","1,054,743,947","2,235,938,468",7,"217,707,508",49,"94,683,354",373
딥노이드,315640,2021-08-17,2021,12월,소프트웨어 개발 및 공급업,"18,590,794","4,842,937","13,747,858","943,670",-9,"-7,651,547",-52,"-8,853,542",34
한컴라이프케어,372910,2021-08-17,2021,12월,의료용 기기 제조업,"202,661,295","92,539,059","110,122,236","115,131,124",-15,"11,839,583",-48,"11,562,730",-25
엠로,058970,2021-08-13,2021,12월,소프트웨어 개발 및 공급업,"54,561,019","13,178,057","41,382,962","44,148,794",9,"6,873,247",17,"5,550,100",63
플래티어,367000,2021-08-12,2021,12월,소프트웨어 개발 및 공급업,"52,225,411","8,715,918","43,509,493","41,893,366",6,"4,143,173",13,"4,173,645",55
원티드랩,376980,2021-08-11,2021,12월,소프트웨어 개발 및 공급업,"45,638,920","12,586,340","33,052,580","31,699,212",116,"6,349,791",229,"3,093,472",133
크래프톤,259960,2021-08-10,2021,12월,소프트웨어 개발 및 공급업,"5,481,054,422","888,975,234","4,592,079,188","1,828,373,788","1,815","696,375,446",639,"542,202,251",888
PI첨단소재,178920,2021-08-09,2021,12월,플라스틱제품 제조업,"472,959,622","147,070,686","325,888,936","301,868,719",15,"75,857,969",26,"64,000,019",53
HK이노엔,195940,2021-08-09,2021,12월,의약품 제조업,"1,837,695,427","686,378,137","1,151,317,290","768,267,182",49,"50,257,560",-59,"24,888,707",-62
카카오뱅크,323410,2021-08-06,2021,12월,은행 및 저축기관,"36,040,068,000","30,518,698,000",0,0,0,"256,936,000",109,"204,124,000",79
한화플러스제2호스팩,386580,2021-08-05,2021,12월,금융 지원 서비스업,"8,874,052","1,037,541","7,836,510",0,0,"-32,467",888,"-23,763",888
에브리봇,270660,2021-07-28,2021,12월,가정용 기기 제조업,"75,646,787","18,303,975","57,342,812","51,110,135",4,"10,123,202",-21,"9,476,338","1,150"
맥스트,377030,2021-07-27,2021,12월,소프트웨어 개발 및 공급업,"18,559,547","3,026,881","15,532,666","2,367,272",19,"-4,298,238",-70,"-4,319,347",51
큐라클,365270,2021-07-22,2021,12월,자연과학 및 공학 연구개발업,"65,529,345","10,512,592","55,016,753","6,254,953",888,"-6,869,595",12,"-6,677,789",76
에스디바이오센서,137310,2021-07-16,2021,12월,의료용 기기 제조업,"2,914,623,616","750,308,034","2,164,315,581","2,847,242,798",92,"1,362,655,330",92,"1,066,022,506",82
오비고,352910,2021-07-13,2021,12월,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","34,240,430","6,654,517","27,585,914","6,493,003",-44,"-6,259,188",-548,"-6,087,343",-56
엠씨넥스,097520,2021-07-06,2021,12월,영상 및 음향기기 제조업,"493,961,155","168,933,987","325,027,168","817,628,890",-29,"17,943,573",-73,"26,674,201",-27
아모센스,357580,2021-06-25,2021,12월,전자부품 제조업,"76,208,616","42,325,939","33,882,677","56,759,469",30,"-3,143,828",69,"-7,414,502",55
타임기술,318660,2021-06-24,2021,12월,소프트웨어 개발 및 공급업,"3,734,196","2,856,493","877,704","3,109,764",14,"280,348",269,"168,808",669
이노뎁,303530,2021-06-18,2021,12월,소프트웨어 개발 및 공급업,"55,310,949","14,808,626","40,502,323","60,038,612",-10,"-1,514,454",-126,"-878,621",-117
삼성머스트스팩5호,380320,2021-06-17,2021,12월,금융 지원 서비스업,"9,482,899","747,666","8,735,233",0,0,"-19,867",888,"7,747",888
라온테크,232680,2021-06-17,2021,12월,특수 목적용 기계 제조업,"38,861,482","19,355,398","19,506,084","36,858,185",100,"5,246,325",397,"5,868,229",594
엘비루셈,376190,2021-06-11,2021,12월,반도체 제조업,"237,707,239","48,568,896","189,138,343","232,984,901",11,"19,389,927",-6,"18,691,505",9
이성씨엔아이,379390,2021-06-04,2021,12월,"건축기술, 엔지니어링 및 관련 기술 서비스업","13,974,475","3,519,368","10,455,107","9,153,132",-58,"68,450",-92,"-2,593,552",-931
에이디엠코리아,187660,2021-06-03,2021,12월,자연과학 및 공학 연구개발업,"38,592,692","4,212,516","34,380,176","13,972,490",6,"2,412,505",-39,"2,139,449",-46
에코프로에이치엔,383310,2021-05-28,2021,12월,기타 화학제품 제조업,"128,972,658","66,212,782","62,759,876","90,904,348",888,"13,876,915",888,"11,486,174",888
LX홀딩스,383800,2021-05-27,2021,12월,기타 금융업,"1,442,547,000","27,878,000","1,414,669,000","185,812,000",888,"147,184,000",888,"142,866,000",888
제주맥주,276730,2021-05-26,2021,12월,알코올음료 제조업,"87,595,688","34,559,252","53,036,436","28,483,743",32,"-7,167,823",-64,"-8,522,783",25
진시스템,363250,2021-05-26,2021,12월,의료용 기기 제조업,"50,657,603","6,572,412","44,085,192","13,236,860",0,"2,266,167",-31,"3,551,442",259
F&F,383220,2021-05-21,2021,12월,봉제의복 제조업,"1,073,133,609","485,161,176","587,972,433","1,081,845,593",888,"368,305,263",888,"267,596,187",888
삼영에스앤씨,361670,2021-05-21,2021,12월,전자부품 제조업,"29,117,356","3,063,702","26,053,654","12,525,690",-7,"-581,694",-419,"-1,444,783",-214
삼성스팩4호,377630,2021-05-21,2021,12월,금융 지원 서비스업,"8,885,611","1,215,439","7,670,172",0,0,"-37,698",888,"-16,359",888
엔에이치스팩19호,380440,2021-05-21,2021,12월,금융 지원 서비스업,"115,807,983","15,744,024","100,063,959",0,0,"-50,625",888,"151,494",888
샘씨엔에스,252990,2021-05-20,2021,12월,전자부품 제조업,"160,767,646","53,678,100","107,089,546","47,572,155",32,"13,627,082",74,"11,910,692",97
씨앤씨인터내셔널,352480,2021-05-17,2021,12월,기타 화학제품 제조업,"161,347,917","39,783,947","121,563,970","83,660,249",-3,"845,991",-94,"-7,495,195",-176
에이치피오,357230,2021-05-14,2021,12월,기타 식품 제조업,"148,311,856","12,419,783","135,892,073","112,244,241",8,"15,612,128",-21,"13,126,426",-20
SK아이이테크놀로지,361610,2021-05-11,2021,12월,일차전지 및 축전지 제조업,"2,605,217,451","437,161,261","2,168,056,190","394,854,980",-14,"43,969,451",-68,"45,725,365",-49
하이제6호스팩,377400,2021-05-10,2021,12월,금융 지원 서비스업,"10,336,659","736,923","9,599,737",0,0,"-37,217",888,"-24,013",888
쿠콘,294570,2021-04-28,2021,12월,소프트웨어 개발 및 공급업,"201,092,591","72,042,435","129,050,155","59,175,373",19,"16,376,707",48,"6,870,003",-63
이삭엔지니어링,351330,2021-04-21,2021,12월,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","54,034,523","9,285,945","44,748,579","42,782,207",-3,"-2,043,344",-143,"-3,574,406",-185
해성티피씨,059270,2021-04-21,2021,12월,기타 금속 가공제품 제조업,"49,970,092","9,045,991","40,924,101","15,227,942",-9,"-1,079,953",-210,"-1,145,276",-33
유진스팩6호,373340,2021-04-08,2021,12월,금융 지원 서비스업,"6,850,526","1,068,646","5,781,879",0,0,"-29,723",-209,"-18,152",-90
유안타제8호스팩,367480,2021-04-05,2021,12월,금융 지원 서비스업,"15,282,794","2,560,931","12,721,863",0,0,"-50,773",-143,"-19,379",27
엔시스,333620,2021-04-01,2021,12월,기타 전기장비 제조업,"69,801,686","15,072,792","54,728,894","42,688,765",17,"7,701,967",3,"4,828,554",35
제노코,361390,2021-03-24,2021,12월,통신 및 방송 장비 제조업,"63,136,727","31,930,863","31,205,864","45,639,344",33,"4,284,777",71,"5,843,874",245
자이언트스텝,289220,2021-03-24,2021,12월,"영화, 비디오물, 방송프로그램 제작 및 배급업","139,980,548","13,042,232","126,938,317","23,027,167",48,"-2,080,232",-53,"-2,788,557",-85
라이프시맨틱스,347700,2021-03-23,2021,12월,소프트웨어 개발 및 공급업,"33,285,525","20,226,976","13,058,549","4,634,373",73,"-6,037,732",-65,"-6,215,408",33
SK바이오사이언스,302440,2021-03-18,2021,12월,기초 의약물질 및 생물학적 제제 제조업,"2,110,122,672","508,810,724","1,601,311,948","929,000,930",311,"474,219,856","1,157","355,139,277",979
바이오다인,314930,2021-03-17,2021,12월,의료용 기기 제조업,"45,822,781","7,324,409","38,498,372","3,763,251",2,"-2,342,504",-28,"-10,856,919",-143
DB금융스팩9호,367360,2021-03-16,2021,12월,금융 지원 서비스업,"9,844,916","1,087,580","8,757,336",0,0,"-39,517",-214,"-9,464",31
네오이뮨텍,950220,2021-03-16,2021,12월,자연과학 및 공학 연구개발업,"189,265,508","21,870,576","167,394,932",0,0,"-47,709,009",-54,"-48,103,467",-60
